"Age.group" "Age.label" "Province" "Year" "Obs" "Pop"
1 "[0-40)" 28 1985 18 1502241
2 "[40-45)" 28 1985 19 153637
3 "[45-50)" 28 1985 49 138288
4 "[50-55)" 28 1985 52 146408
5 "[55-60)" 28 1985 53 134717
6 "[60-65)" 28 1985 32 116874
7 "[65-70)" 28 1985 55 93987
8 "[70-75)" 28 1985 31 82115
9 "[75-80)" 28 1985 45 62085
10 "[80-85)" 28 1985 18 39515
11 "[85,85+)" 28 1985 40 26427
1 "[0-40)" 29 1985 8 340271
2 "[40-45)" 29 1985 5 30572
3 "[45-50)" 29 1985 9 28319
4 "[50-55)" 29 1985 14 30831
5 "[55-60)" 29 1985 15 27475
6 "[60-65)" 29 1985 13 25071
7 "[65-70)" 29 1985 6 20908
8 "[70-75)" 29 1985 6 17548
9 "[75-80)" 29 1985 17 13578
10 "[80-85)" 29 1985 10 8127
11 "[85,85+)" 29 1985 4 4315
1 "[0-40)" 30 1985 5 313132
2 "[40-45)" 30 1985 6 26172
3 "[45-50)" 30 1985 7 26956
4 "[50-55)" 30 1985 13 28990
5 "[55-60)" 30 1985 11 28063
6 "[60-65)" 30 1985 12 23888
7 "[65-70)" 30 1985 9 18371
8 "[70-75)" 30 1985 2 16187
9 "[75-80)" 30 1985 7 13282
10 "[80-85)" 30 1985 7 8705
11 "[85,85+)" 30 1985 3 5453
1 "[0-40)" 31 1985 4 149221
2 "[40-45)" 31 1985 0 14809
3 "[45-50)" 31 1985 5 13196
4 "[50-55)" 31 1985 2 14870
5 "[55-60)" 31 1985 2 14844
6 "[60-65)" 31 1985 8 13990
7 "[65-70)" 31 1985 1 11904
8 "[70-75)" 31 1985 5 10682
9 "[75-80)" 31 1985 7 8292
10 "[80-85)" 31 1985 9 5344
11 "[85,85+)" 31 1985 3 3306
1 "[0-40)" 32 1985 2 97957
2 "[40-45)" 32 1985 1 12026
3 "[45-50)" 32 1985 5 11848
4 "[50-55)" 32 1985 1 13887
5 "[55-60)" 32 1985 6 13833
6 "[60-65)" 32 1985 7 13548
7 "[65-70)" 32 1985 7 12013
8 "[70-75)" 32 1985 2 11603
9 "[75-80)" 32 1985 6 8917
10 "[80-85)" 32 1985 0 5993
11 "[85,85+)" 32 1985 0 3723
1 "[0-40)" 33 1985 14 310964
2 "[40-45)" 33 1985 1 30877
3 "[45-50)" 33 1985 21 30351
4 "[50-55)" 33 1985 30 38365
5 "[55-60)" 33 1985 17 37731
6 "[60-65)" 33 1985 24 34488
7 "[65-70)" 33 1985 19 28525
8 "[70-75)" 33 1985 24 25810
9 "[75-80)" 33 1985 15 20476
10 "[80-85)" 33 1985 25 13060
11 "[85,85+)" 33 1985 11 7835
1 "[0-40)" 34 1985 2 51498
2 "[40-45)" 34 1985 1 4601
3 "[45-50)" 34 1985 1 4421
4 "[50-55)" 34 1985 2 5866
5 "[55-60)" 34 1985 3 6557
6 "[60-65)" 34 1985 2 5839
7 "[65-70)" 34 1985 3 4995
8 "[70-75)" 34 1985 0 4496
9 "[75-80)" 34 1985 5 3657
10 "[80-85)" 34 1985 3 2497
11 "[85,85+)" 34 1985 0 1437
1 "[0-40)" 35 1985 8 247323
2 "[40-45)" 35 1985 5 19728
3 "[45-50)" 35 1985 2 18396
4 "[50-55)" 35 1985 9 19175
5 "[55-60)" 35 1985 4 15478
6 "[60-65)" 35 1985 1 12494
7 "[65-70)" 35 1985 7 10405
8 "[70-75)" 35 1985 5 8944
9 "[75-80)" 35 1985 14 6717
10 "[80-85)" 35 1985 6 3874
11 "[85,85+)" 35 1985 4 2625
1 "[0-40)" 36 1985 13 270882
2 "[40-45)" 36 1985 10 26660
3 "[45-50)" 36 1985 2 24568
4 "[50-55)" 36 1985 11 28642
5 "[55-60)" 36 1985 21 24511
6 "[60-65)" 36 1985 5 22593
7 "[65-70)" 36 1985 11 20350
8 "[70-75)" 36 1985 21 17665
9 "[75-80)" 36 1985 18 14616
10 "[80-85)" 36 1985 1 8976
11 "[85,85+)" 36 1985 3 5581
1 "[0-40)" 37 1985 2 98298
2 "[40-45)" 37 1985 1 9187
3 "[45-50)" 37 1985 6 9820
4 "[50-55)" 37 1985 2 12060
5 "[55-60)" 37 1985 8 11849
6 "[60-65)" 37 1985 7 11104
7 "[65-70)" 37 1985 3 9629
8 "[70-75)" 37 1985 7 9012
9 "[75-80)" 37 1985 3 7521
10 "[80-85)" 37 1985 3 4782
11 "[85,85+)" 37 1985 5 3469
1 "[0-40)" 38 1985 5 222748
2 "[40-45)" 38 1985 0 19609
3 "[45-50)" 38 1985 1 18472
4 "[50-55)" 38 1985 3 19594
5 "[55-60)" 38 1985 5 16492
6 "[60-65)" 38 1985 8 13994
7 "[65-70)" 38 1985 4 11531
8 "[70-75)" 38 1985 9 10529
9 "[75-80)" 38 1985 3 8157
10 "[80-85)" 38 1985 2 4980
11 "[85,85+)" 38 1985 5 2904
1 "[0-40)" 39 1985 6 152263
2 "[40-45)" 39 1985 9 13689
3 "[45-50)" 39 1985 3 13294
4 "[50-55)" 39 1985 5 16071
5 "[55-60)" 39 1985 9 15914
6 "[60-65)" 39 1985 4 14473
7 "[65-70)" 39 1985 5 12200
8 "[70-75)" 39 1985 6 11113
9 "[75-80)" 39 1985 8 8807
10 "[80-85)" 39 1985 0 5754
11 "[85,85+)" 39 1985 1 3724
1 "[0-40)" 40 1985 1 39163
2 "[40-45)" 40 1985 1 3589
3 "[45-50)" 40 1985 2 3872
4 "[50-55)" 40 1985 2 4982
5 "[55-60)" 40 1985 0 5190
6 "[60-65)" 40 1985 0 4661
7 "[65-70)" 40 1985 4 3767
8 "[70-75)" 40 1985 0 3574
9 "[75-80)" 40 1985 0 2733
10 "[80-85)" 40 1985 3 2041
11 "[85,85+)" 40 1985 1 1249
1 "[0-40)" 41 1985 5 493656
2 "[40-45)" 41 1985 8 43635
3 "[45-50)" 41 1985 10 39241
4 "[50-55)" 41 1985 26 42799
5 "[55-60)" 41 1985 18 40050
6 "[60-65)" 41 1985 28 35851
7 "[65-70)" 41 1985 12 29514
8 "[70-75)" 41 1985 16 25626
9 "[75-80)" 41 1985 18 19364
10 "[80-85)" 41 1985 7 12126
11 "[85,85+)" 41 1985 4 7289
1 "[0-40)" 42 1985 0 23659
2 "[40-45)" 42 1985 0 2296
3 "[45-50)" 42 1985 0 2472
4 "[50-55)" 42 1985 1 3388
5 "[55-60)" 42 1985 2 3562
6 "[60-65)" 42 1985 0 3180
7 "[65-70)" 42 1985 3 2840
8 "[70-75)" 42 1985 3 2920
9 "[75-80)" 42 1985 0 2552
10 "[80-85)" 42 1985 3 1766
11 "[85,85+)" 42 1985 0 1005
1 "[0-40)" 43 1985 1 151173
2 "[40-45)" 43 1985 0 14606
3 "[45-50)" 43 1985 5 13316
4 "[50-55)" 43 1985 2 15874
5 "[55-60)" 43 1985 2 15808
6 "[60-65)" 43 1985 0 14807
7 "[65-70)" 43 1985 16 12189
8 "[70-75)" 43 1985 7 10879
9 "[75-80)" 43 1985 5 8387
10 "[80-85)" 43 1985 12 5549
11 "[85,85+)" 43 1985 6 3415
1 "[0-40)" 44 1985 2 35414
2 "[40-45)" 44 1985 2 3589
3 "[45-50)" 44 1985 1 3784
4 "[50-55)" 44 1985 7 5470
5 "[55-60)" 44 1985 1 5176
6 "[60-65)" 44 1985 0 5133
7 "[65-70)" 44 1985 2 4343
8 "[70-75)" 44 1985 4 4441
9 "[75-80)" 44 1985 2 3558
10 "[80-85)" 44 1985 0 2396
11 "[85,85+)" 44 1985 1 1506
1 "[0-40)" 45 1985 0 134432
2 "[40-45)" 45 1985 0 12239
3 "[45-50)" 45 1985 2 12417
4 "[50-55)" 45 1985 4 14914
5 "[55-60)" 45 1985 8 15306
6 "[60-65)" 45 1985 6 13888
7 "[65-70)" 45 1985 8 11887
8 "[70-75)" 45 1985 13 10956
9 "[75-80)" 45 1985 6 8550
10 "[80-85)" 45 1985 3 5429
11 "[85,85+)" 45 1985 2 3340
1 "[0-40)" 46 1985 19 626584
2 "[40-45)" 46 1985 20 61522
3 "[45-50)" 46 1985 20 58379
4 "[50-55)" 46 1985 38 63270
5 "[55-60)" 46 1985 33 61628
6 "[60-65)" 46 1985 18 56352
7 "[65-70)" 46 1985 26 45566
8 "[70-75)" 46 1985 30 39939
9 "[75-80)" 46 1985 24 31119
10 "[80-85)" 46 1985 22 18840
11 "[85,85+)" 46 1985 15 11042
1 "[0-40)" 47 1985 4 149486
2 "[40-45)" 47 1985 5 14880
3 "[45-50)" 47 1985 3 12532
4 "[50-55)" 47 1985 3 14288
5 "[55-60)" 47 1985 12 13053
6 "[60-65)" 47 1985 3 12444
7 "[65-70)" 47 1985 3 9419
8 "[70-75)" 47 1985 11 8732
9 "[75-80)" 47 1985 0 6887
10 "[80-85)" 47 1985 2 4753
11 "[85,85+)" 47 1985 3 3138
1 "[0-40)" 48 1985 5 354538
2 "[40-45)" 48 1985 6 35891
3 "[45-50)" 48 1985 13 34108
4 "[50-55)" 48 1985 17 39089
5 "[55-60)" 48 1985 18 35541
6 "[60-65)" 48 1985 13 29718
7 "[65-70)" 48 1985 16 22731
8 "[70-75)" 48 1985 21 19726
9 "[75-80)" 48 1985 18 15648
10 "[80-85)" 48 1985 11 10042
11 "[85,85+)" 48 1985 9 6379
1 "[0-40)" 49 1985 0 53212
2 "[40-45)" 49 1985 1 5506
3 "[45-50)" 49 1985 0 6358
4 "[50-55)" 49 1985 3 7888
5 "[55-60)" 49 1985 2 8568
6 "[60-65)" 49 1985 4 7600
7 "[65-70)" 49 1985 1 6679
8 "[70-75)" 49 1985 2 6974
9 "[75-80)" 49 1985 5 5063
10 "[80-85)" 49 1985 0 3333
11 "[85,85+)" 49 1985 0 2099
1 "[0-40)" 50 1985 6 229939
2 "[40-45)" 50 1985 9 24369
3 "[45-50)" 50 1985 13 23638
4 "[50-55)" 50 1985 24 27524
5 "[55-60)" 50 1985 15 27113
6 "[60-65)" 50 1985 23 25511
7 "[65-70)" 50 1985 20 21126
8 "[70-75)" 50 1985 28 18471
9 "[75-80)" 50 1985 10 14476
10 "[80-85)" 50 1985 11 9329
11 "[85,85+)" 50 1985 7 5960
1 "[0-40)" 1 1986 3 83064
2 "[40-45)" 1 1986 0 8613
3 "[45-50)" 1 1986 3 7093
4 "[50-55)" 1 1986 1 7575
5 "[55-60)" 1 1986 3 6810
6 "[60-65)" 1 1986 1 5919
7 "[65-70)" 1 1986 7 4663
8 "[70-75)" 1 1986 3 4114
9 "[75-80)" 1 1986 2 3220
10 "[80-85)" 1 1986 0 2089
11 "[85,85+)" 1 1986 3 1294
1 "[0-40)" 2 1986 1 99918
2 "[40-45)" 2 1986 1 8741
